Adresse;Name;Größe
"$00000";"Hexdump";""
"$01FD6";"ADF Rampensteigung Atmosphaerendruckfuehler";"1x1"
"$01FCE";"ADF Geberkennwort  Atmosphaerendruckfuehler";"1x1"
"$01FC8";"ADF Kanal          Atmosphaerendruckfuehler";"1x1"
"$02212";"ADF - Linearisierung     P_ATM = f(U_ADF)";"2x1"
"$01FCA";"ADF oberer  SRC    Atmosphaerendruckfuehler";"1x1"
"$01FCC";"ADF unterer SRC    Atmosphaerendruckfuehler";"1x1"
"$01FD4";"ADF Offset         Atmosphaerendruckfuehler";"1x1"
"$01FD2";"ADF Steigung       Atmosphaerendruckfuehler";"1x1"
"$01FD0";"ADF Vorgabewert    Atmosphaerendruckfuehler";"1x1"
"$02066";"UBAT Rampensteigung Batteriespannung";"1x1"
"$0205E";"UBAT Geberkennwort Batteriespannung";"1x1"
"$02058";"UBAT Kanal         Batteriespannung";"1x1"
"$0205A";"UBAT oberer  SRC   Batteriespannung";"1x1"
"$0205C";"UBAT unterer SRC   Batteriespannung";"1x1"
"$02064";"UBAT Offset        Batteriespannung";"1x1"
"$02062";"UBAT Steigung      Batteriespannung";"1x1"
"$02060";"UBAT Vorgabewert   Batteriespannung";"1x1"
"$01FF6";"EPW Rampensteigung Elektropneumatischer Wandler";"1x1"
"$01FEE";"EPW Geberkennwort  Elektropneumatischer Wandler";"1x1"
"$01FE8";"EPW Kanal          Elektropneumatischer Wandler";"1x1"
"$0244A";"EPW - Liniarisierung     I_EPW = f(U_EPW)";"2x1"
"$01FEA";"EPW oberer  SRC    Elektropneumatischer Wandler";"1x1"
"$01FEC";"EPW unterer SRC    Elektropneumatischer Wandler";"1x1"
"$01FF4";"EPW Offset         Elektropneumatischer Wandler";"1x1"
"$01FF2";"EPW Steigung       Elektropneumatischer Wandler";"1x1"
"$01FF0";"EPW Vorgabewert    Elektropneumatischer Wandler";"1x1"
"$01FE6";"FGR Rampensteigung Analoges Bedienteil";"1x1"
"$01FDE";"FGR Geberkennwort  Analoges Bedienteil";"1x1"
"$01FD8";"FGR Kanal          Analoges Bedienteil";"1x1"
"$02466";"Liniarisierung FGR, nicht aktiv";"2x1"
"$01FDA";"FGR oberer  SRC    Analoges Bedienteil";"1x1"
"$01FDC";"FGR unterer SRC    Analoges Bedienteil";"1x1"
"$01FE4";"FGR Offset         Analoges Bedienteil";"1x1"
"$01FE2";"FGR Steigung       Analoges Bedienteil";"1x1"
"$01FE0";"FGR Vorgabewert    Analoges Bedienteil";"1x1"
"$02006";"KTF Rampensteigung Kraftstofftemperaturfuehler";"1x1"
"$01FFE";"KTF Geberkennwort  Kraftstofftemperaturfuehler";"1x1"
"$01FF8";"KTF Kanal          Kraftstofftemperaturfuehler";"1x1"
"$02296";"KTF - Linearisierung     T_K = f(U_KTF)";"10x1"
"$01FFA";"KTF oberer  SRC    Kraftstofftemperaturfuehler";"1x1"
"$01FFC";"KTF unterer SRC    Kraftstofftemperaturfuehler";"1x1"
"$02004";"KTF Offset         Kraftstofftemperaturfuehler";"1x1"
"$02002";"KTF Steigung       Kraftstofftemperaturfuehler";"1x1"
"$02000";"KTF Vorgabewert    Kraftstofftemperaturfuehler";"1x1"
"$01F66";"LDF Rampensteigung Ladedruckfuehler Speisung";"1x1"
"$01F5E";"LDF Geberkennwort  Ladedruckfuehler Speisung";"1x1"
"$01F58";"LDF Kanal          Ladedruckfuehler Speisung";"1x1"
"$01F5A";"LDF oberer SRC     Ladedruckfuehler Speisung";"1x1"
"$01F5C";"LDF unterer SRC    Ladedruckfuehler Speisung";"1x1"
"$01F64";"LDF Offset         Ladedruckfuehler Speisung";"1x1"
"$01F62";"LDF Steigung       Ladedruckfuehler Speisung";"1x1"
"$01F60";"LDF Vorgabewert    Ladedruckfuehler Speisung";"1x1"
"$01F76";"LDF Rampensteigung Ladedruckfuehler";"1x1"
"$01F6E";"LDF Geberkennwort  Ladedruckfuehler";"1x1"
"$01F68";"LDF Kanal          Ladedruckfuehler";"1x1"
"$02392";"LDF - Linearisierung     P_L = f(U_LDF)";"2x1"
"$01F6A";"LDF oberer SRC     Ladedruckfuehler";"1x1"
"$01F6C";"LDF unterer SRC    Ladedruckfuehler";"1x1"
"$01F74";"LDF Offset         Ladedruckfuehler";"1x1"
"$01F72";"LDF Steigung       Ladedruckfuehler";"1x1"
"$01F70";"LDF Vorgabewert    Ladedruckfuehler";"1x1"
"$01F86";"LMM Rampensteigung Luftmengenmesser Speisung";"1x1"
"$01F7E";"LMM Geberkennwort  Luftmengenmesser Speisung";"1x1"
"$01F78";"LMM Kanal          Luftmengenmesser Speisung";"1x1"
"$01F7A";"LMM oberer  SRC    Luftmengenmesser Speisung";"1x1"
"$01F7C";"LMM unterer SRC    Luftmengenmesser Speisung";"1x1"
"$01F84";"LMM Offset         Luftmengenmesser Speisung";"1x1"
"$01F82";"LMM Steigung       Luftmengenmesser Speisung";"1x1"
"$01F80";"LMM Vorgabewert    Luftmengenmesser Speisung";"1x1"
"$0219A";"LMM untere N-Schwelle SRC-Ueberwachungsbereich";"1x1"
"$0219C";"LMM obere  N-Schwelle SRC-Ueberwachungsbereich";"1x1"
"$01F96";"LMM Rampensteigung Luftmengenmesser nicht aendern!";"1x1"
"$01F8E";"LMM Geberkennwort  Luftmengenmesser";"1x1"
"$01F88";"LMM Kanal          Luftmengenmesser";"1x1"
"$0239E";"LMM - Linearisierung     M_Lt(proz) = f(U_LMM)";"2x1"
"$01F8A";"LMM oberer  SRC    Heissluftmengenmesser 5";"1x1"
"$01F8C";"LMM unterer  SRC   Heissluftmengenmesser 5";"1x1"
"$01F94";"LMM Offset         Luftmengenmesser";"1x1"
"$01F92";"LMM Steigung       Luftmengenmesser";"1x1"
"$01F90";"LMM Vorgabewert    Luftmengenmesser";"1x1"
"$02016";"LTF Rampensteigung Lufttemperaturfuehler";"1x1"
"$0200E";"LTF Geberkennwort  Lufttemperaturfuehler";"1x1"
"$02008";"LTF Kanal          Lufttemperaturfuehler";"1x1"
"$0223E";"LTF - Linearisierung     T_L = f(U_LTF)";"18x1"
"$0200A";"LTF oberer  SRC    Lufttemperaturfuehler";"1x1"
"$0200C";"LTF unterer SRC    Lufttemperaturfuehler";"1x1"
"$02014";"LTF Offset         Lufttemperaturfuehler";"1x1"
"$02012";"LTF Steigung       Lufttemperaturfuehler";"1x1"
"$02010";"LTF Vorgabewert    Lufttemperaturfuehler";"1x1"
"$0219E";"NBF untere U_BATT-Schwelle zur Auswertung des NBF";"1x1"
"$021A0";"NBF Zeit-Schwelle";"1x1"
"$01FC6";"NBF Rampensteigung Nadelbewegungsfuehler";"1x1"
"$01FBE";"NBF Geberkennwort  Nadelbewegungsfuehler";"1x1"
"$01FB8";"NBF Kanal          Nadelbewegungsfuehler";"1x1"
"$0243E";"NBF - Liniarisierung, nicht aktiv";"2x1"
"$01FBA";"NBF oberer  SRC    Nadelbewegungsfuehler";"1x1"
"$01FBC";"NBF unterer SRC    Nadelbewegungsfuehler";"1x1"
"$01FC4";"NBF Offset         Nadelbewegungsfuehler";"1x1"
"$01FC2";"NBF Steigung       Nadelbewegungsfuehler";"1x1"
"$01FC0";"NBF Vorgabewert    Nadelbewegungsfuehler";"1x1"
"$02036";"Schritt fuer Rampe Kraftstofftemperaturfuehler";"1x1"
"$0202E";"Geberkennwort Kraftstofftemperaturfuehler";"1x1"
"$02028";"Gruppe + Kanal Kraftstofftemperaturfuehler  nicht aendern!";"1x1"
"$0233A";"NOX1 - Linearisierung  T_X = f(U)";"2x1"
"$0202A";"SRC max. Wert Kraftstofftemperaturfuehler";"1x1"
"$0202C";"SRC min. Wert Kraftstofftemperaturfuehler";"1x1"
"$02034";"Offset Kraftstofftemperaturfuehler";"1x1"
"$02032";"Steigung Kraftstofftemperaturfuehler";"1x1"
"$02030";"Vorgabewert Kraftstofftemperaturfuehler";"1x1"
"$02046";"Schritt fuer Rampe Kraftstofftemperaturfuehler";"1x1"
"$0203E";"Geberkennwort Kraftstofftemperaturfuehler";"1x1"
"$02038";"Gruppe + Kanal Kraftstofftemperaturfuehler  nicht aendern!";"1x1"
"$02366";"NOX2 - Linearisierung  T_X = f(U)";"2x1"
"$0203A";"SRC max. Wert Kraftstofftemperaturfuehler";"1x1"
"$0203C";"SRC min. Wert Kraftstofftemperaturfuehler";"1x1"
"$02044";"Offset Kraftstofftemperaturfuehler";"1x1"
"$02042";"Steigung Kraftstofftemperaturfuehler";"1x1"
"$02040";"Vorgabewert Kraftstofftemperaturfuehler";"1x1"
"$01FA6";"PWG Rampensteigung Pedalwertgeber Speisung  nicht aendern!";"1x1"
"$01F9E";"PWG Geberkennwort  Pedalwertgeber Speisung";"1x1"
"$01F98";"PWG Kanal          Pedalwertgeber Speisung";"1x1"
"$01F9A";"PWG oberer  SRC    Pedalwertgeber Speisung";"1x1"
"$01F9C";"PWG unterer SRC    Pedalwertgeber Speisung";"1x1"
"$01FA4";"PWG Offset         Pedalwertgeber Speisung";"1x1"
"$01FA2";"PWG Steigung       Pedalwertgeber Speisung";"1x1"
"$01FA0";"PWG Vorgabewert    Pedalwertgeber Speisung";"1x1"
"$01FB6";"PWG Rampensteigung Pedalwertgeber  nicht aendern!";"1x1"
"$01FAE";"PWG Geberkennwort  Pedalwertgeber";"1x1"
"$01FA8";"PWG Kanal          Pedalwertgeber";"1x1"
"$0240A";"PWG - Linearisierung     PWG = f(U_PWG)";"4x1"
"$01FAA";"PWG oberer  SRC    Pedalwertgeber";"1x1"
"$01FAC";"PWG unterer SRC    Pedalwertgeber";"1x1"
